schema | table_name | column_name | data_type | is_nullable | column_default
-----------------------------------------------------------------------------
companies | empresa_saas_plan | id_saas_plan | integer | NO | nextval('companies.empresa_saas_plan_id_saas_plan_seq'::regclass)
companies | empresa_saas_plan | nombre_plan | character varying | NO | null
companies | empresa_saas_plan | limite_vehiculos | integer | YES | 10
companies | empresa_saas_plan | precio_mensual | numeric | NO | null
companies | empresa_suscripcion_estado | id_suscripcion_estado | integer | NO | nextval('companies.empresa_suscripcion_estado_id_suscripcion_estado_seq'::regclass)
companies | empresa_suscripcion_estado | nombre_estado | character varying | NO | null
companies | empresa_suscripcion_estado | descripcion | text | YES | null
companies | empresas | id_empresa | character varying | NO | null
companies | empresas | ruc_tax_id | character varying | NO | null
companies | empresas | razon_social | character varying | NO | null
companies | empresas | nombre_comercial | character varying | YES | null
companies | empresas | giro_negocio | character varying | YES | null
companies | empresas | descripcion_corporativa | text | YES | null
companies | empresas | direccion_fiscal | character varying | NO | null
companies | empresas | telefono_corporativo | character varying | YES | null
companies | empresas | email_corporativo | character varying | YES | null
companies | empresas | sitio_web | character varying | YES | null
companies | empresas | estado_suscripcion | character varying | YES | 'Prueba'::character varying
companies | empresas | plan_suscripcion | character varying | YES | 'Enterprise'::character varying
companies | empresas | moneda_base | character varying | YES | 'PEN'::character varying
companies | empresas | fecha_registro_saas | timestamp without time zone | YES | CURRENT_TIMESTAMP
companies | empresas | logo_url | character varying | YES | null
companies | empresas | pais_operacion | character varying | YES | 'Peru'::character varying
companies | ubigeo_departamento | id_departamento | character varying | NO | null
companies | ubigeo_departamento | nombre_departamento | character varying | NO | null
companies | ubigeo_distrito | id_distrito | character varying | NO | null
companies | ubigeo_distrito | id_provincia | character varying | NO | null
companies | ubigeo_distrito | nombre_distrito | character varying | NO | null
companies | ubigeo_provincia | id_provincia | character varying | NO | null
companies | ubigeo_provincia | id_departamento | character varying | NO | null
companies | ubigeo_provincia | nombre_provincia | character varying | NO | null
costs | costo_comprobante_tipo | id_comprobante_tipo | integer | NO | nextval('costs.costo_comprobante_tipo_id_comprobante_tipo_seq'::regclass)
costs | costo_comprobante_tipo | codigo_sunat | character varying | YES | null
costs | costo_comprobante_tipo | nombre_comprobante | character varying | NO | null
costs | costo_gasto_categoria | id_gasto_categoria | integer | NO | nextval('costs.costo_gasto_categoria_id_gasto_categoria_seq'::regclass)
costs | costo_gasto_categoria | nombre_categoria | character varying | NO | null
costs | costo_gasto_categoria | descripcion | text | YES | null
costs | costo_moneda | id_moneda | integer | NO | nextval('costs.costo_moneda_id_moneda_seq'::regclass)
costs | costo_moneda | codigo_iso | character varying | NO | null
costs | costo_moneda | simbolo | character varying | NO | null
costs | costo_moneda | nombre_divisa | character varying | YES | null
costs | gastos | id_gasto | integer | NO | nextval('costs.gastos_id_gasto_seq'::regclass)
costs | gastos | id_vehiculo | integer | YES | null
costs | gastos | id_viaje | integer | YES | null
costs | gastos | id_gasto_categoria | integer | YES | null
costs | gastos | monto | numeric | NO | null
costs | gastos | id_moneda | integer | YES | null
costs | gastos | fecha_gasto | timestamp without time zone | YES | null
costs | gastos | descripcion | character varying | YES | null
costs | gastos | id_comprobante_tipo | integer | YES | null
costs | gastos | comprobante_nro | character varying | YES | null
costs | gastos | kilometraje_registro | integer | YES | null
costs | gastos | id_empresa | character varying | NO | null
costs | ingresos_servicios | id_ingreso | integer | NO | nextval('costs.ingresos_servicios_id_ingreso_seq'::regclass)
costs | ingresos_servicios | id_orden_trabajo | integer | YES | null
costs | ingresos_servicios | id_vehiculo | integer | NO | null
costs | ingresos_servicios | monto_cobrado | numeric | NO | null
costs | ingresos_servicios | costo_mano_obra_asociado | numeric | YES | null
costs | ingresos_servicios | id_moneda | integer | YES | null
costs | ingresos_servicios | fecha_pago | timestamp without time zone | YES | null
costs | ingresos_servicios | id_viaje_estado | integer | YES | null
costs | ingresos_servicios | id_empresa | character varying | NO | null
costs | ingresos_servicios | id_viaje | integer | YES | null
employees | conductor_estado_laboral | id_estado_laboral | integer | NO | nextval('employees.conductor_estado_laboral_id_estado_laboral_seq'::regclass)
employees | conductor_estado_laboral | nombre_estado | character varying | NO | null
employees | conductor_estado_laboral | descripcion | text | YES | null
employees | conductor_licencia_categoria | id_categoria | integer | NO | nextval('employees.conductor_licencia_categoria_id_categoria_seq'::regclass)
employees | conductor_licencia_categoria | codigo_categoria | character varying | NO | null
employees | conductor_licencia_categoria | descripcion | text | YES | null
employees | conductor_tipo_sangre | id_tipo_sangre | integer | NO | nextval('employees.conductor_tipo_sangre_id_tipo_sangre_seq'::regclass)
employees | conductor_tipo_sangre | grupo_sanguineo | character varying | NO | null
employees | conductores | id_conductor | integer | NO | nextval('employees.conductores_id_conductor_seq'::regclass)
employees | conductores | numero_documento | character varying | NO | null
employees | conductores | nombre | character varying | NO | null
employees | conductores | apellido | character varying | NO | null
employees | conductores | licencia_nro | character varying | YES | null
employees | conductores | telefono | character varying | YES | null
employees | conductores | email | character varying | YES | null
employees | conductores | id_estado_laboral | integer | YES | null
employees | conductores | id_categoria | integer | YES | null
employees | conductores | licencia_vencimiento | date | YES | null
employees | conductores | id_tipo_sangre | integer | YES | null
employees | conductores | contacto_emergencia | character varying | YES | null
employees | conductores | costo_hora | numeric | YES | null
employees | conductores | id_empresa | character varying | NO | null
employees | conductores | puesto | character varying | YES | null
employees | conductores | id_tipo_documento | integer | NO | null
fleet | sucursales_garitas | id_sucursal | character varying | NO | null
fleet | sucursales_garitas | id_empresa | character varying | NO | null
fleet | sucursales_garitas | nombre_sucursal | character varying | NO | null
fleet | sucursales_garitas | direccion | character varying | NO | null
fleet | sucursales_garitas | id_distrito | character varying | YES | null
fleet | sucursales_garitas | contacto_responsable | character varying | YES | null
fleet | sucursales_garitas | telefono_contacto | character varying | YES | null
fleet | sucursales_garitas | es_taller_interno | character varying | YES | 'NO'::character varying
fleet | vehiculo_color | id_color | integer | NO | nextval('fleet.vehiculo_color_id_color_seq'::regclass)
fleet | vehiculo_color | nombre_color | character varying | NO | null
fleet | vehiculo_estado_operativo | id_estado_operativo | integer | NO | nextval('fleet.vehiculo_estado_operativo_id_estado_operativo_seq'::regclass)
fleet | vehiculo_estado_operativo | nombre_estado | character varying | NO | null
fleet | vehiculo_estado_operativo | descripcion | text | YES | null
fleet | vehiculo_marca | id_marca | integer | NO | nextval('fleet.vehiculo_marca_id_marca_seq'::regclass)
fleet | vehiculo_marca | nombre_marca | character varying | NO | null
fleet | vehiculo_modelo | id_modelo | integer | NO | nextval('fleet.vehiculo_modelo_id_modelo_seq'::regclass)
fleet | vehiculo_modelo | id_marca | integer | NO | null
fleet | vehiculo_modelo | nombre_modelo | character varying | NO | null
fleet | vehiculo_propiedad_tipo | id_propiedad_tipo | integer | NO | nextval('fleet.vehiculo_propiedad_tipo_id_propiedad_tipo_seq'::regclass)
fleet | vehiculo_propiedad_tipo | nombre_propiedad | character varying | NO | null
fleet | vehiculo_tipo_unidad | id_tipo_unidad | integer | NO | nextval('fleet.vehiculo_tipo_unidad_id_tipo_unidad_seq'::regclass)
fleet | vehiculo_tipo_unidad | nombre_tipo | character varying | NO | null
fleet | vehiculo_tipo_unidad | descripcion | text | YES | null
fleet | vehiculos | id_vehiculo | integer | NO | nextval('fleet.vehiculos_id_vehiculo_seq'::regclass)
fleet | vehiculos | placa | character varying | NO | null
fleet | vehiculos | id_marca | integer | YES | null
fleet | vehiculos | id_modelo | integer | YES | null
fleet | vehiculos | anio | integer | YES | null
fleet | vehiculos | capacidad_carga | numeric | YES | null
fleet | vehiculos | id_estado_operativo | integer | YES | 1
fleet | vehiculos | fecha_registro | timestamp without time zone | YES | null
fleet | vehiculos | id_tipo_unidad | integer | YES | null
fleet | vehiculos | id_color | integer | YES | null
fleet | vehiculos | nro_chasis_vin | character varying | YES | null
fleet | vehiculos | id_propiedad_tipo | integer | YES | null
fleet | vehiculos | kilometraje_actual | integer | YES | null
fleet | vehiculos | soat_vencimiento | date | YES | null
fleet | vehiculos | revision_tecnica_vencimiento | date | YES | null
fleet | vehiculos | ultima_latitud | numeric | YES | null
fleet | vehiculos | ultima_longitud | numeric | YES | null
fleet | vehiculos | id_empresa | character varying | NO | null
